sim0,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9
50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
50.5933,50.7373,50.3236,49.2849,50.1549,49.9729,50.0884,48.3835,49.3684,50.4342
49.7302,50.2293,50.2458,49.6021,49.7402,49.8382,49.2461,47.8969,49.8401,50.3553
49.3184,49.6993,50.8331,49.4382,50.5053,48.7572,49.1541,48.8008,49.6637,50.144
49.5513,50.2584,50.7142,50.196,50.5869,49.3481,49.9667,49.0921,49.0704,50.0759
48.9362,50.4818,50.2065,50.3598,51.4845,48.2762,49.6416,49.6476,50.2739,48.999
48.8981,51.298,50.2987,50.8677,51.1442,49.1365,48.554,48.8922,49.3121,50.0797
49.0126,51.6688,51.7765,50.0771,50.5468,48.9523,48.1804,49.4219,49.5226,50.3192
48.5155,51.6953,51.1635,50.3865,49.9107,48.1598,47.4248,50.0688,49.509,50.1734
47.7396,51.1377,50.9041,49.9209,48.9234,48.4543,47.2177,50.2197,50.1732,50.7755
47.8601,52.1226,50.6072,49.8183,48.9476,48.9277,47.0775,49.5972,49.0987,49.9888
48.459,52.0132,50.9057,49.8595,48.9597,48.2507,47.9618,49.1959,49.9988,50.5978
48.0772,51.4475,50.8986,50.1751,50.2629,48.6819,47.6502,48.9711,51.1881,50.2608
47.8842,51.3191,50.5837,50.2403,50.0393,49.1832,47.5259,48.5543,51.4969,49.1072
48.8773,51.1983,50.4118,49.9687,51.5442,49.1765,48.4358,49.5817,51.8158,49.7229
48.5452,52.1396,51.6402,49.9242,51.7812,47.7827,47.8063,48.9221,52.9996,48.7217
48.2422,53.7399,50.7274,49.4664,51.672,47.7573,47.2169,48.9714,52.6652,48.4974
49.7082,53.5821,50.9173,49.2568,50.685,47.2946,46.672,49.4005,52.1962,48.6026
48.7787,54.2379,50.4073,50.2461,51.024,47.9867,47.2012,49.8221,51.956,48.8126
49.2687,53.7119,50.4603,49.7032,50.3175,48.0773,46.9966,49.3856,51.9508,48.3191
48.0649,53.5518,51.5257,48.8607,50.5554,47.2531,46.6728,49.3337,52.6156,48.5199
47.7158,53.073,51.3618,47.6864,50.9049,47.2669,46.3863,49.5542,53.5568,47.9772
48.6197,53.1461,52.0146,47.5798,49.9946,46.8871,46.377,48.9979,53.6164,47.942
49.3676,53.5496,52.3509,48.202,50.3606,47.2438,47.3906,49.0413,54.7209,48.5821
48.8245,53.6807,52.4561,48.8075,50.2688,47.1525,48.1988,49.5707,55.101,47.8463
48.5561,53.4349,52.7227,49.5477,51.5593,46.7359,49.1096,50.1806,55.1962,47.6228
48.6101,53.4044,52.7627,50.2379,50.8918,46.4981,50.0324,48.9975,55.2445,47.8329
47.863,52.9276,53.3847,49.6566,49.9141,46.1868,49.3712,49.1063,54.9966,47.6539
48.1975,53.2697,53.6987,50.383,48.8305,45.8381,49.5043,49.0857,56.1616,46.9503
49.5535,53.0165,52.6754,50.1248,48.815,45.0682,49.1704,49.1096,56.5809,47.0454
48.7331,53.1765,52.3457,49.2628,50.088,45.4294,49.7137,48.3772,55.867,47.1777
47.5554,53.8143,52.7794,49.474,50.2192,45.3261,49.1522,48.704,56.1908,46.662
47.7312,53.4112,53.3228,50.6333,49.3868,46.241,49.7094,49.0312,56.0675,46.2028
47.6662,54.4054,53.148,50.6862,49.5203,46.072,49.1317,48.9146,55.5127,45.6824
48.7506,52.8806,52.9444,51.4561,49.608,46.3276,50.1195,49.5293,56.5112,45.4202
48.6593,52.4725,52.3608,51.2502,50.0822,46.0715,50.1738,48.1357,56.3433,44.878
48.6343,53.1006,52.5792,50.845,50.1205,45.8529,50.6497,48.3986,56.7018,44.9917
48.5249,52.8908,52.7994,50.4936,50.174,45.3414,49.2179,49.2931,56.486,45.5894
47.9379,52.2435,52.7342,50.1287,49.57,45.5868,49.3979,49.6445,56.3736,45.9628
48.3453,51.9124,52.1726,50.6745,49.7131,46.3896,50.3846,50.0038,56.0076,46.5882
47.5633,52.9218,52.5452,51.6987,48.8727,46.8143,50.5406,49.5488,56.396,47.1957
48.262,54.1023,52.473,51.1673,47.9292,46.3975,51.1888,49.5567,56.0075,47.1998
48.2726,53.1882,51.9151,50.9882,48.7262,45.5062,51.2191,49.9991,56.7155,46.8516
48.5807,52.7484,52.0743,50.8712,49.393,44.8277,51.2866,49.8958,56.4348,46.9866
48.2543,52.3025,52.5988,50.8041,49.5629,44.6365,50.6083,50.2319,56.376,47.4065
47.7122,53.2308,51.0562,51.2452,49.7228,44.8255,50.1826,49.7913,56.1078,46.9252
48.7952,53.0872,51.3451,51.7178,49.4477,45.1633,50.3927,49.6477,56.7454,46.5869
49.0853,53.3476,51.499,52.4873,49.3192,45.2618,49.956,50.097,56.0948,47.1494
49.8314,53.4658,51.0146,52.3754,48.7988,45.9511,50.0313,50.1799,56.5574,46.6787
49.953,53.4718,50.1261,53.3713,49.4871,46.1819,49.8486,50.4643,56.3186,46.2845
51.6036,53.2428,49.7937,53.9007,49.5987,45.7012,50.7423,49.8859,56.4483,46.2252
51.8389,53.9131,49.9898,54.134,49.4271,46.3933,49.5857,51.0081,56.648,47.341
51.1869,53.9523,49.3532,53.0151,49.4085,45.7682,48.7695,50.0101,57.6549,48.0737
51.6831,53.2384,48.5246,52.1099,48.8985,45.6663,49.5019,50.0491,58.0695,48.3352
51.9625,53.1588,49.1449,51.6959,48.6791,45.1738,49.3627,50.8561,57.3224,48.5267
50.4936,52.2998,48.7338,51.9394,49.0791,46.2489,49.8112,51.4764,57.4915,48.799
50.4269,52.3673,48.9296,52.9744,49.0959,47.2624,50.0905,50.9127,57.7173,49.5579
51.0496,52.0814,47.5871,53.4308,49.6879,47.6366,49.1813,51.154,58.1182,49.1458
51.5654,51.4792,47.9947,52.4224,50.1892,47.1648,49.0852,51.5785,58.7172,48.6572
51.3547,50.21,48.4166,51.9048,51.5906,47.9957,49.4255,52.1254,57.7451,47.9852
50.5939,51.6043,48.9474,52.6007,51.9911,47.0447,49.3133,52.0891,57.3317,48.5163
50.909,51.5343,48.5013,51.6489,52.8789,46.6736,50.5369,52.8762,56.4382,48.4399
50.1964,52.6572,47.9845,50.6664,51.5935,47.2536,50.8329,52.0266,56.3071,49.5332
51.0339,52.1073,48.0004,51.6078,51.0521,46.817,51.205,51.9806,55.6976,49.0097
50.8463,52.369,48.0406,52.3809,52.3362,47.6085,50.2031,50.9664,56.5289,48.3827
50.2722,53.5824,47.7861,51.7864,53.453,49.0887,49.2982,51.2779,56.4325,48.9348
49.9252,54.1092,47.0167,51.6924,53.3483,48.181,49.4846,50.1029,55.7408,49.0414
49.4313,53.6865,47.5153,51.6002,53.1998,48.1666,49.151,50.4581,56.2018,49.0959
49.0944,52.3364,47.545,51.6343,54.1866,47.6653,49.3674,50.609,55.1618,48.6926
48.6536,51.4195,47.6476,51.8147,53.6316,49.0447,48.5463,50.183,55.8058,47.7004
48.431,51.7133,46.8337,52.7473,53.2563,47.7668,49.2271,50.1738,55.3766,46.4576
48.5804,52.1956,46.5152,52.3487,53.1824,46.9562,49.7335,49.4747,54.7165,45.8193
48.947,52.6468,46.4264,51.7159,53.4065,48.1427,48.2717,49.3324,55.7034,46.0759
48.2831,52.7038,46.2557,52.43,53.6639,46.6327,48.9722,49.5198,56.3749,46.0972
47.7221,52.8951,45.6415,52.2212,53.9238,46.5298,48.3849,49.7121,56.5427,46.1685
47.4742,53.3364,45.2315,51.738,52.9866,47.6038,47.4451,50.8796,57.1883,46.2283
47.5172,53.1946,44.3916,52.9029,53.1057,47.5812,47.327,50.9718,57.1022,46.8838
47.5803,53.4671,44.5,52.8576,53.1298,47.4482,47.8774,52.4032,56.5759,46.0205
46.3945,53.8248,45.4445,53.7626,52.9332,47.1436,49.1273,53.231,56.5413,45.3692
47.391,53.2295,45.1461,53.4127,53.0269,47.9421,48.9426,54.3354,56.8498,45.2495
46.876,53.8146,46.7614,52.2537,52.8579,47.9724,48.1614,54.2287,57.0156,45.743
47.95,54.9946,47.6479,52.4006,51.855,47.5862,47.3983,53.723,56.127,45.5948
47.1579,56.6888,48.5049,51.7861,51.5028,46.2839,47.7404,53.8937,56.5178,44.7859
46.6027,57.0931,48.961,51.9596,50.459,45.4157,46.8183,53.3779,55.7171,44.5402
46.4629,57.0569,49.0847,52.0311,49.3535,45.3276,45.9934,53.7036,55.4871,43.4552
46.3401,56.1833,48.3037,51.7947,48.9056,45.1045,45.6432,52.8639,55.6444,43.6968
45.904,56.7792,48.1803,50.2026,49.5829,44.8079,45.4801,53.514,55.7787,43.8499
46.3297,57.381,47.966,49.8386,50.277,43.8542,45.0943,53.8246,54.7513,43.1124
45.3109,56.8117,48.1393,50.4034,50.6815,42.6639,45.25,53.5868,56.0313,43.1343
45.913,57.3601,48.1369,50.2707,50.851,43.2923,46.1581,53.614,56.2732,42.9205
45.4548,57.0549,48.6323,49.3818,50.4681,43.8281,45.5474,54.0782,56.782,42.6094
46.1713,56.2359,48.6812,49.3295,50.4071,43.4375,45.2031,55.3627,55.2573,43.4038
45.9431,56.2504,47.3838,50.255,51.3908,43.0996,45.0811,55.7492,55.4245,44.335
45.1579,56.0317,47.2591,50.0633,51.3847,43.1255,45.3762,55.4992,55.4641,44.3466
45.4154,55.6304,47.1758,50.6207,51.8867,43.0557,45.4631,55.4875,55.459,44.456
46.6946,55.264,47.3125,49.6479,54.0753,43.8359,44.6838,54.7876,55.164,44.3247
46.6696,54.9647,46.8367,49.4085,53.1343,43.218,44.9798,55.0409,54.7694,44.984
46.7396,54.0405,46.4614,49.4894,53.9403,42.9691,45.1231,55.2496,54.147,44.3812
46.514,55.5159,47.069,49.6005,55.1488,43.0049,45.9751,54.1253,53.2474,43.7205
46.0163,56.5558,47.0823,49.511,54.9739,42.3394,46.6053,54.7609,54.0193,44.1213
45.5947,55.7996,48.4188,49.4182,54.918,42.5489,45.8746,55.4854,53.3678,44.6459
44.8591,56.1899,48.7468,49.8469,54.0923,42.5389,45.154,55.3787,54.0433,44.2729
44.087,56.2838,49.2913,49.9761,53.6089,43.1573,45.5246,55.3782,53.0959,45.0829
44.1309,56.2375,49.1145,49.8514,54.7209,43.3577,46.7174,55.9983,53.2069,44.4444
45.0319,57.4778,49.8406,49.6686,54.9686,42.1779,46.6348,56.8354,53.3804,45.234
45.3303,58.0037,49.0761,51.2212,55.0837,41.2846,46.1797,55.637,53.3296,45.8954
45.6027,57.2199,48.6999,51.8809,54.8507,40.9285,46.932,56.9772,52.5356,47.6539
45.7488,56.971,48.1,50.699,54.4111,41.8255,47.3245,55.9148,52.9343,47.0482
45.2663,55.7349,47.9855,51.329,53.822,42.3138,47.9751,55.9096,52.9351,46.9714
45.3757,56.0078,47.5914,51.4772,53.8806,42.5994,47.5857,56.4478,52.5364,46.8903
45.1443,56.1327,47.1499,52.155,54.6306,42.4516,48.0909,57.053,52.898,46.338
45.6776,56.2735,47.3396,51.9081,54.9671,42.9388,47.2872,56.9263,53.4527,46.9518
46.3853,56.1349,46.3379,52.2278,55.4934,42.0372,47.6179,55.6178,52.935,47.0963
47.1177,56.1726,46.198,51.3359,55.0622,42.4996,48.0017,55.8407,53.8299,46.9
47.3377,56.3777,46.7397,53.0169,54.429,42.0674,47.459,56.5131,53.2984,47.7448
47.9601,57.7421,46.5118,53.0121,53.6472,41.796,48.0649,55.7796,54.2068,46.6634
47.5733,57.8813,46.2737,52.3763,53.3673,41.5787,48.8723,55.9096,54.2062,46.4871
47.5208,57.6822,46.0956,51.956,53.6347,41.447,48.8935,55.3449,54.6244,46.1593
47.4021,58.0604,45.5742,52.2349,53.0925,40.9489,47.4178,55.4397,54.5683,46.187
46.8795,58.6953,45.3196,51.2146,53.2024,41.2249,46.9095,55.997,53.7503,46.6389
46.293,59.5643,45.1583,51.0182,52.9604,41.2661,47.3179,54.5896,54.0714,47.2546
45.7929,60.4367,44.9069,50.7514,52.4191,40.4658,46.1398,54.0364,54.9454,47.2223
45.539,60.2696,44.4607,50.1145,52.6917,41.1508,45.8414,54.8247,54.8318,47.6316
44.4708,60.999,43.9066,51.4928,51.53,40.1251,45.8132,54.1803,55.476,47.9403
45.618,60.4877,44.0082,51.8755,51.8998,39.6922,45.7056,54.792,54.7617,47.8295
45.7387,59.4922,43.1891,51.3461,50.0442,39.8868,46.0065,54.5299,54.0972,48.4748
45.7709,59.0034,43.3146,51.6963,49.9075,39.8011,47.1039,53.7894,54.0514,48.1067
46.1299,59.4301,42.9962,52.0532,50.1144,39.4286,46.0986,53.2858,53.6785,49.176
46.0466,58.2805,43.7118,52.0661,49.8816,39.2015,45.5124,52.3115,54.0956,48.7335
46.3324,59.496,44.1447,52.6018,49.8332,38.6739,45.1893,52.5503,54.5169,48.5336
46.6161,59.4302,44.3211,52.0358,49.9601,38.6558,45.3986,52.2062,56.2322,49.1904
47.0496,59.8542,44.3208,52.0016,49.9534,38.4404,47.316,52.3757,54.8933,49.7001
45.7698,59.5803,44.146,51.6458,49.8379,38.4726,47.3723,53.1509,54.5905,50.0076
46.3707,58.6211,44.061,51.0638,50.1502,38.7545,47.9332,51.9753,55.8234,50.2705
46.4625,58.4114,43.9804,52.1436,49.8888,38.2783,48.5881,51.9103,54.7464,50.1486
46.8285,58.8,42.8751,52.3592,49.7051,37.9548,48.009,50.5605,54.7985,50.1594
47.103,58.0675,43.0788,51.9255,49.8247,37.5406,48.0522,50.4198,55.4237,50.3493
47.2624,58.2567,43.7412,53.1007,49.6004,37.7898,47.8242,50.554,55.0254,50.9666
48.107,57.5744,43.7884,53.2714,50.1759,38.3288,47.7743,49.8312,54.5868,50.2419
47.8913,56.3993,44.8025,53.8484,51.1984,38.8369,48.4629,50.1622,55.3048,49.6605
48.2005,55.7046,45.2628,54.8908,51.5552,39.6435,48.3376,49.5444,56.2296,49.3004
48.0369,56.0125,44.9093,54.73,51.4166,39.7826,48.9695,49.1944,55.42,49.2549
48.0386,55.0569,44.0779,54.3607,50.8431,39.5484,49.0359,49.7486,55.1616,50.0769
49.4967,55.4978,44.0528,55.7455,50.9783,39.7211,49.0654,48.9005,55.085,49.761
50.5987,55.5049,44.0037,56.5073,50.7663,39.8036,48.5479,49.1457,54.7653,48.7301
50.7899,54.9866,44.7499,55.7224,51.3313,38.863,48.5214,50.0937,55.461,49.1804
51.3628,54.9704,44.9533,55.1764,51.5361,39.6157,47.5104,50.424,55.098,49.9203
51.2286,56.2294,46.1061,54.8076,52.4261,39.2596,47.6216,51.1138,54.7745,49.574
50.0435,56.7928,46.1091,54.9163,51.8037,39.1322,49.1986,50.9806,53.9281,48.8535
50.3801,57.3625,45.8287,54.5076,51.4235,39.1667,50.4186,51.3729,53.11,48.7573
50.1996,57.1575,44.9714,54.2064,50.7098,39.4055,50.6425,51.5581,52.4835,48.0449
49.4528,56.0916,45.1127,54.5897,50.931,39.979,50.2883,51.9579,53.1408,48.8866
48.0646,56.7948,46.0514,53.5728,50.326,40.6922,50.2655,52.2644,53.5575,48.6457
48.914,57.7413,45.9931,55.1209,51.4474,41.3516,50.2272,52.2785,53.727,48.5833
49.2458,58.1402,46.2609,55.3985,51.674,42.1478,51.0748,52.2559,54.3789,48.5183
49.5681,58.5618,45.7706,55.6957,51.9124,42.2784,50.866,53.3492,53.76,49.0325
49.1113,58.9988,45.8997,55.7699,52.5155,42.029,52.0713,52.2486,53.7203,49.6893
49.1134,59.1248,46.1987,55.6715,52.3128,41.976,52.1985,52.4138,52.8345,49.7315
49.9471,58.9147,46.7294,56.06,52.5792,41.9585,52.8341,52.7896,53.4313,49.396
49.595,59.6671,47.2323,56.1232,52.3448,42.3962,52.2469,53.404,55.0607,49.1707
49.7361,59.8466,46.8622,56.7839,52.6787,41.8917,52.2277,53.2766,55.529,48.9095
49.1221,58.3925,46.0119,56.7252,51.98,41.9168,52.462,53.3164,55.2094,49.0085
49.2389,58.4734,46.3097,56.0225,51.3645,41.3226,52.0149,53.2402,54.9677,47.9028
48.5885,58.2584,46.0173,55.9284,52.0762,40.8959,52.3391,53.3667,54.7124,47.7467
48.2928,57.2162,45.9772,56.7422,52.1433,39.8225,52.5452,53.3659,54.6207,47.5998
48.0868,58.4474,46.5082,56.2766,50.928,38.9008,51.9683,52.199,53.6017,47.5193
48.6146,60.2151,46.1811,56.6607,50.5092,38.5475,51.3835,51.2829,53.5985,47.9862
48.8607,59.3568,46.3257,57.3927,50.2591,38.4326,53.2758,51.5575,53.1014,46.9875
48.4753,59.9027,45.7814,56.875,50.2713,38.6176,54.095,51.0846,53.3846,47.197
48.3927,59.7352,45.9844,58.0969,51.4674,38.9669,53.5206,51.3683,52.6809,45.6268
48.363,59.8926,45.4618,57.9277,51.8807,38.9826,53.6019,50.8048,51.3474,44.8091
48.3399,59.4824,45.5366,57.43,52.2098,39.2085,53.5888,50.2153,51.7958,44.7348
47.8067,59.5662,45.9101,57.1989,50.9914,38.8579,53.449,50.2218,51.3517,44.445
48.2763,60.5846,46.6246,56.9037,50.9271,38.9521,52.5653,49.7269,51.5639,44.6405
48.4198,60.803,46.348,56.1965,51.8514,39.5188,52.9596,50.3816,51.3311,44.6205
48.5176,60.5669,46.8989,56.0764,52.8597,40.0797,54.058,50.5817,53.0631,44.2353
50.0323,60.3161,47.0822,55.3911,53.5649,39.8906,53.7973,49.6432,53.7522,44.9236
49.7326,59.6689,47.1122,55.2572,52.7471,39.7879,54.0562,49.6608,53.8331,44.8377
50.1471,59.4686,47.3628,55.2671,54.1827,39.9596,53.84,49.5629,52.9275,44.9177
49.207,58.5337,47.4462,55.2621,54.0177,39.6478,53.6929,49.0096,52.4099,44.8036
50.3705,59.387,47.638,55.0881,54.055,39.4954,53.7715,48.9032,52.2146,45.2066
49.7989,57.895,47.4082,54.7152,54.8576,39.1782,53.6873,49.2614,53.252,45.3349
49.1677,57.9919,47.1377,53.9146,54.3505,39.5365,54.3471,50.6153,52.4976,44.6027
49.044,57.3803,46.5293,54.0106,54.3142,39.5594,53.992,50.7528,52.0491,45.3073
48.4643,56.8796,46.0278,53.4727,54.5003,39.2098,54.5395,51.1399,52.1074,46.2186
47.7266,56.456,45.8423,53.3026,54.2251,39.9583,54.6896,51.5494,51.6513,46.34
48.174,55.9946,45.1981,52.8957,54.5069,39.6442,54.2819,52.407,50.7425,46.8389
48.5717,56.7533,44.9574,52.3167,54.1507,38.6549,54.6691,51.8272,51.8729,47.5478
48.5811,57.5157,46.0927,52.2146,54.044,38.7765,53.9243,51.3427,51.8468,46.8473
48.3617,56.6237,45.7176,53.9642,54.7434,38.482,53.4837,50.071,53.5177,46.2386
48.7517,55.7776,46.2264,53.7295,56.128,38.852,54.2083,49.317,54.6273,46.5764
48.3754,56.858,45.7671,53.9557,55.8049,39.4361,54.6317,50.1858,55.1832,47.4929
47.9381,57.989,45.271,54.8047,55.4149,40.0624,55.3152,49.1658,54.4776,47.3774
48.4931,58.4873,46.6416,53.9617,56.1227,39.5937,56.6934,50.4138,53.9519,47.1998
47.952,56.973,46.2598,55.5361,55.461,39.9362,56.8931,50.867,54.9165,46.3772
47.442,57.7281,47.4911,56.3626,56.2169,39.2352,56.5827,51.7745,54.6724,47.7036
47.7543,56.9627,46.9133,55.9466,55.9556,39.369,57.1538,51.9623,54.5054,47.61
47.5764,57.2861,46.3324,55.7573,56.7646,38.6177,58.1459,52.6637,54.386,47.4245
46.9991,56.4994,46.0139,54.7455,56.0884,39.3884,58.1223,52.3458,54.3393,48.0433
46.91,56.6064,45.9063,53.8446,56.5932,38.9757,57.0313,51.8446,54.6487,47.7613
46.7623,56.1712,45.5329,55.049,56.7425,39.1699,57.6601,52.1317,53.443,47.4399
46.3465,56.3293,45.5213,55.5514,56.6644,38.5072,58.5201,53.4288,53.413,46.6864
46.502,55.5983,45.695,55.1943,57.0932,38.9897,58.9174,52.6797,53.132,45.7024
46.8961,55.6363,45.7263,55.1992,57.1374,39.9761,57.5014,51.9331,52.5823,45.52
47.5012,54.8876,45.7743,55.1131,57.6522,39.9373,57.3245,51.2496,52.2478,46.0355
46.7585,54.9603,45.6037,55.4778,58.2373,39.5361,56.6332,51.0717,53.2087,45.5073
46.8235,54.7057,45.3527,54.6784,57.6892,39.5924,56.2239,51.3712,54.2301,45.6855
46.8705,56.255,45.5525,55.3039,57.9749,39.174,55.0359,52.3096,55.6769,45.5759
45.6855,56.7141,44.7342,55.1182,57.7077,39.3274,54.8915,52.1909,55.1323,45.4366
45.2035,55.2329,45.291,54.7011,57.6062,39.3447,54.4007,51.9261,53.8138,45.5192
45.2252,55.3674,45.1929,54.2834,57.5662,39.6642,55.1174,53.7113,53.5605,45.0704
44.2425,56.3393,45.7442,54.4766,57.6416,40.2293,54.5317,53.2571,53.746,44.6547
44.4543,55.9947,45.4546,53.5939,57.616,40.0736,52.4326,52.8902,54.2831,44.2581
45.1786,55.5668,45.3204,53.6299,56.6411,40.457,51.8657,53.1063,55.0503,43.7214
44.4647,55.364,45.5472,53.6337,57.4595,40.7777,50.3517,52.9511,54.5638,43.2759
45.286,56.4383,46.3037,53.7659,57.6078,40.3203,49.673,53.0866,54.6238,42.9666
47.3427,57.1672,45.6277,53.9264,57.6143,40.7133,50.1816,52.7279,54.9849,42.9369
47.1841,58.1255,45.3576,55.0268,58.0055,42.1149,50.1704,53.1303,55.0998,43.1957
47.0085,57.3313,45.9229,56.1618,57.2491,41.941,49.6037,53.4569,55.9046,43.2127
46.7521,57.1023,45.8656,56.9294,58.4635,41.2901,49.4112,53.2645,55.5399,42.909
45.1011,56.4121,45.9936,56.6801,58.7696,41.0099,51.0783,52.3956,56.6156,43.1864
44.424,56.3018,46.5281,57.9265,59.5461,40.7448,49.5279,52.066,56.5842,42.5939
44.912,56.6315,46.686,57.4985,60.2134,40.22,51.7316,52.2528,56.8726,42.6557
44.7615,55.8326,46.8691,57.7171,60.4185,39.7949,52.0066,53.2489,57.7212,42.3805
45.1201,56.2419,47.5658,56.5671,59.3317,39.8354,51.6535,52.7384,57.1003,42.3583
45.1175,57.7137,47.7224,56.9127,59.2146,39.7526,52.534,52.2796,57.5516,41.0945
45.0851,56.9442,48.0966,57.7486,59.3381,39.5596,50.9179,51.2035,57.4849,41.1196
45.3939,56.6728,47.6498,56.2204,57.8633,39.1434,50.7675,51.2565,57.5828,41.1669
44.7838,56.842,46.8103,57.0175,58.4927,40.0918,51.6992,50.9564,57.4928,41.2515
45.018,57.02,46.3789,57.2232,58.2274,40.2814,51.738,51.1391,56.7125,40.8327
45.1855,55.8992,47.4511,57.6156,58.709,41.6025,51.479,49.9601,56.53,41.5175
44.5213,56.651,47.4408,57.396,59.2823,42.2849,51.7169,49.9514,57.448,41.6814
43.6298,56.8043,47.9895,57.0535,59.9623,42.2217,51.2258,49.2513,58.3951,41.4957
43.3548,56.7431,47.9531,57.7093,59.6865,42.4518,50.8123,49.1481,58.1998,41.9378
44.8489,56.5895,47.7844,58.259,59.6334,42.5154,49.3537,48.8966,59.7577,42.0301
45.7449,58.1889,48.0007,58.5511,58.7396,42.6647,50.188,48.9448,59.3132,41.1986
46.4102,57.305,47.9136,57.6177,59.3344,43.1201,50.3815,48.4811,57.9686,40.4133
46.227,57.2623,47.0021,57.6411,60.1108,43.8554,50.3062,48.6741,58.8329,39.9982
46.3753,56.9866,47.2356,57.0887,59.9502,44.499,50.61,47.8501,57.8857,40.7648
46.283,57.5993,48.2713,56.9322,59.1895,44.2402,50.2032,47.1268,57.8869,41.2763
46.9156,57.895,48.5981,57.6728,59.5214,44.5481,48.5548,47.091,57.829,41.8108
47.2262,58.5582,49.2721,58.827,59.644,45.0788,48.0099,47.2472,58.1398,41.8158
46.1213,58.6884,49.1881,58.7671,60.3878,45.2331,47.9716,47.3294,58.5331,42.7078
46.5931,60.6949,49.3795,59.6348,59.9357,45.5183,47.3961,48.3562,58.4871,43.2023
47.1227,60.8295,49.5562,59.3379,59.3538,45.5315,47.5933,48.4583,58.4659,42.905
46.8141,60.9579,50.4211,57.2757,58.153,44.5035,47.0089,48.6627,59.0583,42.7191
46.3862,60.7031,51.0499,56.5614,57.4928,43.7269,46.8954,48.9052,59.673,42.2691
46.7148,61.1146,49.8519,57.021,59.002,44.0118,48.3414,47.6713,60.3103,42.5893
46.3839,60.8012,50.5764,58.1881,58.9894,44.8776,49.1624,48.7672,60.4847,42.1555
46.5542,61.1254,50.3487,58.5552,58.8901,44.8926,49.5467,49.1699,60.5788,40.8562
46.579,62.2317,50.4458,57.2229,59.0074,44.9266,49.5446,48.8294,61.0445,40.1184
46.2751,62.6064,49.5197,57.2296,58.3831,45.7983,49.5874,48.9436,60.4196,39.6152
45.6192,62.4632,49.9839,56.8252,57.8622,45.1431,50.2558,48.718,61.8568,39.429
46.9035,63.2178,50.0737,55.9908,57.8857,45.4688,50.2118,48.1084,61.9933,40.4304
46.4579,63.2591,49.9251,54.6768,58.098,45.6178,50.0687,48.6092,63.1159,41.137
46.6059,64.3318,50.2362,54.0945,57.547,45.7512,50.5299,48.805,63.0054,40.3661
46.5205,64.5072,50.9014,53.8554,58.7152,47.0717,49.7734,48.7941,61.8571,40.2497
46.521,64.8416,51.8011,54.683,59.0601,46.3023,49.6283,47.6549,62.1321,40.0474
45.6378,64.4498,52.753,54.4183,58.9892,47.0174,50.886,48.3596,62.8057,39.7512
45.1451,65.0187,53.288,53.6386,59.1625,46.5001,50.6009,49.1707,62.6786,39.6112
44.4239,65.509,53.0625,54.131,59.0083,46.7278,50.1439,49.3189,63.651,39.4481
